,Date,Low,High,Close,Open
2123,2005-09-27,19.1,21.4,19.3,21.05
2526,2005-09-28,19.2,20.53,20.5,19.3
3559,2005-09-29,20.1,20.58,20.21,20.4
3247,2005-09-30,20.18,21.05,21.01,20.26
1407,2005-10-03,20.9,21.75,21.5,20.9
500,2005-10-04,21.44,22.5,22.16,21.44
1584,2005-10-05,21.75,22.31,22.2,22.1
3436,2005-10-06,22.4,23.0,22.58,22.6
1179,2005-10-07,21.8,22.6,22.15,22.25
3082,2005-10-10,22.1,22.29,22.21,22.28
662,2005-10-11,21.8,22.3,21.98,22.26
2929,2005-10-12,21.64,22.05,21.76,21.9
2650,2005-10-13,21.4,21.8,21.71,21.7
1817,2005-10-14,21.85,22.4,22.27,21.85
3174,2005-10-17,21.85,22.22,22.08,22.15
1605,2005-10-18,21.35,22.3,21.49,22.06
3309,2005-10-19,20.85,21.6,21.38,21.37
1349,2005-10-20,20.85,21.48,21.02,21.35
1424,2005-10-21,21.01,22.42,21.96,21.02
3026,2005-10-24,21.95,22.36,22.31,22.01
2466,2005-10-25,21.7,22.54,22.0,22.25
3359,2005-10-26,21.99,22.45,22.32,22.0
425,2005-10-27,22.2,22.56,22.56,22.26
2184,2005-10-28,22.37,23.9,23.9,22.55
967,2005-10-31,24.0,25.35,24.68,24.0
1383,2005-11-01,24.69,25.08,25.02,24.7
3063,2005-11-02,25.2,28.1,27.55,25.23
58,2005-11-03,27.6,28.1,27.87,27.6
340,2005-11-04,27.77,29.0,28.8,27.8
2717,2005-11-07,28.38,29.43,28.93,29.0
3575,2005-11-08,29.0,29.7,29.43,29.1
1456,2005-11-09,29.43,31.3,31.3,29.43
3521,2005-11-10,31.15,33.96,32.8,31.15
1615,2005-11-11,33.0,33.95,33.35,33.05
2251,2005-11-14,33.45,34.5,33.75,33.5
2575,2005-11-15,32.84,33.88,33.88,33.75
845,2005-11-16,33.4,33.85,33.6,33.51
1803,2005-11-17,33.23,34.55,34.32,33.4
970,2005-11-18,32.86,34.35,33.05,34.35
925,2005-11-21,31.26,32.75,31.99,32.75
2489,2005-11-22,31.6,32.74,32.5,31.99
327,2005-11-23,32.16,33.68,33.04,32.2
276,2005-11-25,32.72,33.2,32.85,33.01
1193,2005-11-28,33.0,33.85,33.41,33.05
1526,2005-11-29,32.63,33.5,32.9,33.3
2298,2005-11-30,32.9,33.8,33.59,32.9
1182,2005-12-01,34.0,34.94,34.28,34.0
765,2005-12-02,34.25,34.65,34.28,34.4
800,2005-12-05,31.38,32.64,32.35,32.08
1918,2005-12-06,32.04,33.75,33.62,32.04
2066,2005-12-07,33.3,34.18,33.95,33.4
643,2005-12-08,33.53,33.98,33.66,33.95
572,2005-12-09,33.35,34.07,33.88,33.41
2257,2005-12-12,33.71,33.91,33.76,33.8
2122,2005-12-13,33.05,33.8,33.25,33.76
1833,2005-12-14,33.25,33.69,33.54,33.4
596,2005-12-15,33.35,33.88,33.63,33.64
1251,2005-12-16,33.68,35.5,35.15,33.68
1195,2005-12-19,34.89,35.45,35.25,35.18
902,2005-12-20,34.02,35.46,35.32,35.25
3213,2005-12-21,35.33,37.0,36.51,35.38
879,2005-12-22,36.35,37.05,36.83,36.6
1475,2005-12-23,36.73,38.0,37.73,36.73
1001,2005-12-27,37.2,38.8,37.46,37.99
3284,2005-12-28,36.35,38.15,37.45,38.0
1721,2005-12-29,37.19,37.95,37.38,37.45
1623,2005-12-30,36.92,37.58,37.14,37.55
1377,2006-01-03,36.85,38.28,37.45,37.2
398,2006-01-04,37.7,40.6,39.2,37.7
1689,2006-01-05,38.91,39.71,39.71,39.18
1395,2006-01-06,38.14,39.71,39.0,39.71
2649,2006-01-09,38.5,38.88,38.61,38.8
2809,2006-01-10,37.4,38.71,37.8,38.61
980,2006-01-11,34.65,37.8,34.8,37.8
520,2006-01-12,32.96,35.35,34.99,33.0
1843,2006-01-13,33.31,35.42,34.05,35.0
1612,2006-01-17,29.62,33.55,30.0,33.55
2297,2006-01-18,28.88,31.16,31.0,29.1
1290,2006-01-19,29.34,31.24,30.39,30.8
3114,2006-01-20,28.6,30.28,29.24,30.28
3346,2006-01-23,29.15,30.05,29.42,29.49
1734,2006-01-24,29.75,31.47,31.02,29.9
3306,2006-01-25,30.75,31.51,31.0,31.15
1865,2006-01-26,30.0,31.25,30.25,31.05
2801,2006-01-27,28.3,30.2,28.89,30.2
3495,2006-01-30,28.73,29.58,29.0,28.73
586,2006-01-31,29.01,30.41,29.34,29.17
2913,2006-02-01,28.35,29.62,29.38,29.1
631,2006-02-02,29.0,30.2,30.01,29.38
1898,2006-02-03,29.2,30.01,29.55,30.01
3257,2006-02-06,28.66,29.7,29.27,29.2
3608,2006-02-07,28.62,29.45,29.0,29.35
2738,2006-02-08,29.01,30.76,29.99,29.1
1768,2006-02-09,29.55,30.48,30.35,29.95
2775,2006-02-10,29.74,30.5,30.0,30.5
2362,2006-02-13,30.55,32.1,31.17,31.05
1806,2006-02-14,31.41,32.9,32.8,31.5
2938,2006-02-15,32.35,34.2,33.75,32.55
990,2006-02-16,33.2,33.9,33.38,33.66
433,2006-02-17,32.33,33.39,33.15,32.8
1164,2006-02-21,31.3,33.65,32.5,32.5
3397,2006-02-22,33.3,34.3,33.64,33.53
2979,2006-02-23,34.07,35.02,34.65,34.2
1887,2006-02-24,33.18,33.98,33.52,33.97
1447,2006-02-27,33.1,34.07,33.35,33.9
2861,2006-02-28,32.6,33.45,33.09,33.3
2357,2006-03-01,32.6,34.06,32.8,33.09
3072,2006-03-02,32.6,33.2,32.9,32.8
475,2006-03-03,31.32,32.67,31.87,32.65
691,2006-03-06,31.38,32.0,31.81,31.9
238,2006-03-07,32.0,32.8,32.41,32.1
3314,2006-03-08,32.1,33.89,33.46,32.41
3589,2006-03-09,32.6,33.41,32.85,33.4
2233,2006-03-10,32.93,33.53,33.26,32.95
320,2006-03-13,32.78,33.7,33.05,33.25
3499,2006-03-14,33.1,34.55,34.1,33.1
2659,2006-03-15,34.2,35.5,35.07,34.28
1787,2006-03-16,34.8,35.35,35.17,35.2
38,2006-03-17,34.85,35.43,35.43,35.15
3622,2006-03-20,35.43,37.43,36.95,35.45
2105,2006-03-21,36.63,39.07,36.98,37.95
410,2006-03-22,37.07,39.99,39.6,37.07
1929,2006-03-23,38.52,39.9,39.11,39.61
675,2006-03-24,38.56,39.5,38.71,39.2
1379,2006-03-27,39.07,39.77,39.17,39.1
726,2006-03-28,37.43,39.2,37.57,39.18
3360,2006-03-29,36.71,37.95,37.71,37.57
2144,2006-03-30,37.2,38.22,37.49,37.95
2931,2006-03-31,37.6,40.02,40.0,37.7
1122,2006-04-03,39.24,40.0,39.6,40.0
207,2006-04-04,39.3,40.6,39.48,40.0
2059,2006-04-05,38.97,39.73,39.48,39.5
786,2006-04-06,39.1,40.33,40.15,39.6
681,2006-04-07,39.45,40.75,39.65,40.3
3491,2006-04-10,37.35,39.65,37.92,39.65
1134,2006-04-11,37.0,38.3,37.5,37.95
3033,2006-04-12,36.76,37.97,37.5,37.5
505,2006-04-13,37.38,39.13,38.63,37.44
1610,2006-04-17,36.53,38.6,36.9,38.4
919,2006-04-18,36.84,37.6,37.05,37.1
3125,2006-04-19,37.2,39.45,38.44,37.3
2643,2006-04-20,37.9,39.64,38.0,38.65
2855,2006-04-21,36.19,38.27,37.73,38.27
878,2006-04-24,39.04,42.3,41.9,39.25
3348,2006-04-25,41.0,43.9,42.73,42.0
2188,2006-04-26,41.57,43.26,42.99,42.4
947,2006-04-27,42.56,44.7,44.3,42.99
1637,2006-04-28,42.8,44.38,43.26,44.3
2817,2006-05-01,43.19,44.0,43.68,43.19
755,2006-05-02,45.0,46.9,45.4,45.1
380,2006-05-03,45.77,48.38,47.8,46.2
150,2006-05-04,47.75,49.2,48.05,48.4
1532,2006-05-05,47.94,48.84,48.59,48.05
2360,2006-05-08,46.48,49.8,47.3,49.1
1613,2006-05-09,48.05,52.13,51.63,48.25
3326,2006-05-10,49.35,52.18,50.1,51.73
1502,2006-05-11,48.0,49.89,49.12,49.25
